file_name,bbox,center_coordinates,detected_text,azimuth,longitude,latitude
GS__1430,"3659,1159,3799,1229","3729,1194",تاپ سپستم مه ت,53.0625,59.51335819444444,36.338064111111116
GS__1431,"984,1328,1187,1437","1085,1382",راری 1 چلال,247.8125,59.51355319444444,36.338033
GS__1431,"4364,1226,4573,1338","4468,1282",,99.25,59.51355319444444,36.338033
GS__1431,"779,1357,893,1482","836,1419",شثیر ،٨٢٩٨,232.25,59.51355319444444,36.338033
GS__1432,"523,1559,646,1638","584,1598",٧٧؟ `,216.5,59.51366180555556,36.33801480555556
GS__1434,"4145,1340,4237,1370","4191,1355",لعانخان راء,81.9375,59.513826305555554,36.33800661111111
GS__1438,"3387,1322,3448,1342","3417,1332",١٨٨٨ ١,33.5625,59.51423211111111,36.337929
GS__1440,"4635,1377,4720,1430","4677,1403",امام,112.3125,59.5144365,36.33787788888889
GS__1440,"4735,1522,4809,1555","4772,1538", ابنانی و,118.25,59.5144365,36.33787788888889
GS__1444,"4633,1406,4700,1437","4666,1421",تکیدان,111.625,59.51480380555556,36.33780838888889
GS__1447,"3546,1305,3676,1358","3611,1331",700(>,45.6875,59.51515561111111,36.337731805555556
GS__1448,"3865,313,4105,416","3985,364",4 7,69.0625,59.51529411111111,36.337703000000005
GS__1448,"4864,1474,4988,1552","4926,1513",٥٣,127.875,59.51529411111111,36.337703000000005
GS__1451,"4662,1365,4901,1457","4781,1411",ومرمهق هکرن,118.8125,59.51569611111111,36.337632500000005
GS__1458,"4434,1328,4561,1403","4497,1365",خغه ٤٢,101.0625,59.5165885,36.33746419444444
GS__1491,"3913,1033,3993,1064","3953,1048",ژل,67.0625,59.520230805555556,36.337216805555556
GS__1493,"4358,1014,4460,1063","4409,1038",مقا,95.5625,59.520277694444445,36.33738080555556
GS__1494,"4582,1036,4683,1090","4632,1063",وشعشلچ,109.5,59.520303999999996,36.33747638888889
GS__1496,"1361,1451,1483,1515","1422,1483",ي ن وا,268.875,59.520361305555554,36.33766338888889
GS__1497,"1314,1447,1562,1513","1438,1480",بدون معامسی دارد لسویر,269.875,59.52038361111111,36.33777011111111
GS__1501,"3458,1230,3674,1321","3566,1275",هچپواچ ملاث أى٣٤,42.875,59.520470805555554,36.33811580555556
GS__1502,"3876,1275,3967,1312","3921,1293",ز$9٤٥,65.0625,59.52049519444444,36.33819311111111
GS__1503,"4694,1338,4858,1429","4776,1383",ا٥٢ أىم٩ ,118.5,59.520519888888884,36.338277805555556
GS__1512,"4854,1668,4933,1688","4893,1678",57,125.8125,59.520764388888885,36.33914738888889
GS__1517,"1624,1558,1736,1594","1680,1576","61""}18771",285.0,59.520451888888886,36.339374694444444
GS__1525,"3835,1423,3877,1470","3856,1446",٤٤,61.0,59.519470999999996,36.339591694444444
GS__1525,"3950,1427,4128,1518","4039,1472",٤٤ ( ١ ٤٤,72.4375,59.519470999999996,36.339591694444444
GS__1531,"4495,1548,4589,1591","4542,1569",ابیاتهرواس,103.875,59.5187306,36.33973319444445
GS__1533,"1805,603,1905,931","1855,767",نا ١ نا ٤,295.9375,59.5184948,36.33977030555556
