file_name,detected_text,confidence,center_coordinates,azimuth
GS__1430.JPG,تاپ سپستم,0.690097221927202,"(3729, 1192)",155.61
GS__1431.JPG,عوچر,0.159355342388153,"(827, 1392)",254.43
GS__1431.JPG, چلال,0.4630646454271901,"(1023, 1397)",272.07
GS__1431.JPG,7,0.0975635309163545,"(1649, 2499)",328.41
GS__1431.JPG,57,0.1409387582721599,"(4310, 1237)",207.9
GS__1431.JPG,I,0.6170683853929972,"(4462, 1278)",221.58
GS__1431.JPG,'67|,0.1396790593862533,"(1106, 1378)",279.53999999999996
GS__1431.JPG,،٨٨٩٨,0.0988712926298914,"(836, 1448)",255.24
GS__1431.JPG,=,0.2444295276262673,"(2545, 2383)",49.050000000000004
GS__1432.JPG,,0.0,"(2542, 2378)",48.78
GS__1432.JPG,٧؛٧ `,0.5353219001530544,"(573, 1601)",231.57
GS__1432.JPG,/,0.1403966356341266,"(3698, 2236)",152.82
GS__1433.JPG,,0.0,"(2508, 2369)",45.72
GS__1433.JPG,,0.0,"(1644, 2479)",327.96
GS__1433.JPG,قدفلفم,0.0090392669937206,"(4682, 2149)",241.38
GS__1434.JPG,,0.0,"(3577, 2247)",141.93
GS__1434.JPG,٩١٥١٢,0.872328248274027,"(5475, 1933)",312.75
GS__1434.JPG,=,0.1188267869491852,"(2474, 2353)",42.66
GS__1435.JPG,ثل٢٧٥٥یع٥,0.0330015180816765,"(4562, 1806)",230.57999999999998
GS__1435.JPG,»,0.0253868024719929,"(1647, 2465)",328.23
GS__1436.JPG,,0.0,"(2513, 2362)",46.17
GS__1437.JPG,٧آب٢٤٢,0.5295299721465839,"(4990, 1804)",269.1
GS__1437.JPG,,0.0,"(1626, 2461)",326.34000000000003
GS__1437.JPG,,0.0,"(2487, 2363)",43.83
GS__1438.JPG,١٨٨٨ ١,0.1076595314306079,"(3417, 1332)",127.53
GS__1438.JPG,;2,0.0373471019774396,"(1624, 2438)",326.15999999999997
GS__1438.JPG,7,0.238807069638768,"(3653, 2254)",148.77
