file_name,detected_text,bbox,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1763,|9 امآرکت,"952,1187,1272,1315","1112,1251",82.5,59.5186132,36.337891194444445,
GS__1763,طباطبائی,"251,1440,336,1494","293,1467",31.3125,59.5186132,36.337891194444445,['11-04-062-0011']
GS__1764,زيبايئ   خودرو  مالتل,"2788,1127,2909,1154","2848,1140",192.0,59.5185878,36.3378085,
GS__1764,نور مارکت ٢٠٩١٥٠٧٥,"554,1409,724,1481","639,1445",53.9375,59.5185878,36.3378085,
GS__1764,  مارثت,"100,1450,274,1547","187,1498",25.6875,59.5185878,36.3378085,['11-04-062-0001']
GS__1765,مانتل  خودرو زیبایح,"3928,1132,4120,1231","4024,1181",262.5,59.5185524,36.337665388888894,
GS__1772,5لئ٧| ٤11445=7 01|47573 ٠٥١٧٦٥٢٢,"3491,1136,3646,1220","3568,1178",236.0,59.5183077,36.33679488888889,['11-04-073-0019-001']
GS__1773,چدف لاتومپیل خلمات ولگ لچاوگرا د بودخگیلاالی دیلثی ٥٢٠٢٠ ٥٥٥٥٥٧,"4615,1247,4874,1390","4744,1318",309.5,59.5182773,36.336688,
GS__1780,فبلمان خلله,"1196,1376,1267,1412","1231,1394",179.9375,59.51664930555555,36.33688780555556,
GS__1783,اا٨د  ا بدم,"3365,620,3475,635","3420,627",46.75,59.516618,36.33714488888889,['11-04-074-0020']
GS__1783,آه,"3303,545,3389,596","3346,570",42.125,59.516618,36.33714488888889,
GS__1784,٨_,"1478,349,1941,897","1709,623",298.8125,59.516646,36.33724930555556,['11-04-074-0020']
GS__1792,٥؟,"3968,1327,4068,1391","4018,1359",83.125,59.5169006,36.3381845,
GS__1795,[3,"5303,920,5339,947","5321,933",162.5625,59.5170305,36.33866530555556,['11-04-063-0002']
GS__1795,كروهساخمانى,"5411,885,5512,925","5461,905",171.3125,59.5170305,36.33866530555556,
GS__1796,رودساختمانى,"5534,1025,5608,1045","5571,1035",179.1875,59.5170548,36.33876580555556,
GS__1799,ساز ٠٣٦٥١١١٣,"924,1509,1078,1551","1001,1530",257.5625,59.5171668,36.339151694444446,['11-04-054-0002']
GS__1814,زیبایی آرا حسینیور,"3802,1100,3989,1205","3895,1152",257.4375,59.51536988888889,36.33932319444445,['11-04-053-0002']
GS__1815,ٰرزا د,"5035,1358,5108,1422","5071,1390",329.9375,59.5153295,36.33918588888889,['11-04-052-0023']
GS__1819,;77==_=,"3908,637,4110,668","4009,652",266.5625,59.51518519444444,36.3386915,['11-04-065-0019']
