file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude
GS__1626,/,0.6288186280589549,"(3664, 2234)",149.76,59.520729805555554,36.337409111111114
GS__1626,,0.0,"(2497, 2372)",44.73,59.520729805555554,36.337409111111114
GS__1627,!٢ ,0.0158635487790039,"(762, 1516)",248.58,59.520896888888885,36.33737680555556
GS__1628,,0.0,"(1646, 2506)",328.14,59.52101161111111,36.33734838888889
GS__1628,,0.0,"(2528, 2390)",47.52,59.52101161111111,36.33734838888889
GS__1629,Dr,0.0519309406918558,"(2989, 2214)",89.01,59.521131,36.33732888888889
GS__1630,وعم,0.0063715694073775,"(3228, 1497)",110.52,59.52128688888889,36.337305111111114
GS__1630,7,0.6436101755746826,"(1644, 2502)",327.96,59.52128688888889,36.337305111111114
GS__1631,اٰٰ ار,0.2677261819137311,"(3309, 1248)",117.81,59.521414694444445,36.337284611111116
GS__1631,,0.0,"(1631, 2461)",326.79,59.521414694444445,36.337284611111116
GS__1631,,0.0,"(2542, 2359)",48.78,59.521414694444445,36.337284611111116
GS__1632,gکأفه ا,0.5519536367191945,"(3802, 1250)",162.18,59.5215125,36.337265
GS__1632,ضزل,0.665490448474884,"(1568, 1419)",321.12,59.5215125,36.337265
GS__1632,؟نن ,0.0516957176305794,"(1647, 1442)",328.23,59.5215125,36.337265
GS__1632,رذ #ا,0.1319805006939282,"(1581, 1455)",322.29,59.5215125,36.337265
GS__1632,بزیغ بیبر,0.1558913174774089,"(1579, 1480)",322.11,59.5215125,36.337265
GS__1632,٦٢٥٦٤ ٦٨١,0.0774552159660877,"(2850, 1489)",76.5,59.5215125,36.337265
GS__1632,,0.0,"(1649, 2497)",328.41,59.5215125,36.337265
GS__1632,دررغنرا,0.0818723834817387,"(1603, 1381)",324.27,59.5215125,36.337265
GS__1632,٤٢٥٢٧٢,0.2953343110157873,"(5189, 1774)",287.01,59.5215125,36.337265
GS__1632,,0.0,"(2518, 2380)",46.620000000000005,59.5215125,36.337265
GS__1634,,0.0,"(4543, 672)",228.87,59.5202535,36.33813311111111
GS__1634,,0.0,"(1638, 2475)",327.42,59.5202535,36.33813311111111
